あいみての,のちのこころに　くらぶれば,むかしはものを,おもわざりけり
やすらわで,ねなましものを,さよふけて,かたぶくまでの,つきをみしかな
やまがわに,かぜのかけたる,しがらみは,ながれもあえぬ,もみじなりけり
やまざとは,ふゆぞさびしさ,まさりける,ひとめもくさも,かれぬとおもえば
ゆうされば,かどたのいなば,おとずれて,あしのまろやに,あきかぜぞふく
ゆらのとを,わたるふなびと,かじをたえ,ゆくえもしらぬ,こいのみちかな
よのなかは,つねにもがもな,なぎさこぐ,あまのおぶねの,つなでかなしも
よのなかよ,みちこそなけれ,おもいいる,やまのおくにも,しかぞなくなる
よもすがら,ものおもうころは,あけやらで,ねやのひまさえ,つれなかりけり
よをこめて,とりのそらねは,はかるとも,よにおうさかの,せきはゆるさじ
わがいおは,みやこのたつみ,しかぞすむ,よをうじやまと,ひとはいうなり
わがそでは,しおひにみえぬ,おきのいしの,ひとこそしらね,かわくまもなし
わすらるる,みをばおもわず,ちかいてし,ひとのいのちの,おしくもあるかな
わすれじの,ゆくすえまでは,かたければ,きょうをかぎりの,いのちともがな
わたのはら,こぎいでてみれば,ひさかたの,くもいにまごう,おきつしらなみ
わたのはら,やそしまかけて,こぎいでぬと,ひとにはつげよ,あまのつりぶね
わびぬれば,いまはたおなじ,なにわなる,みをつくしても,あわんとぞおもう
